City,POP,GDP,PRIM,SEC,TERT,>60yr%,BED,DOC,NRS,Area,POPDENS,GDPpc,Prim%,Sec%,Tert%,ACTV,TVLR,TVLR‰,Cases,MORB%,log(Cases),log(MORB%)
Hefei,818.9,9409.4,291.86,3415.32,5702.22,0.176614929,7.204786909,3.260471364,4.237391623,11445,0.071550896,11.49029185,0.031017918,0.362968946,0.606013136,5.374764286,1.971423,0.002407404,174,2.12E-05,5.159055299,-10.75924705
Wuhu,377.8,3618.26,146.57,1756.87,1714.82,0.201214399,5.743779778,2.395976707,2.78771837,6026,0.062694988,9.577183695,0.040508421,0.485556594,0.473934985,5.559357143,0.4543425,0.001202601,34,9.00E-06,3.526360525,-11.6183448
Bangbu,341.2,2057.17,234.32,845.87,976.98,0.181148886,6.623681125,2.291324736,3.021981243,5951,0.057334902,6.029220399,0.113904053,0.41118138,0.474914567,6.072157143,0,0,160,4.69E-05,5.075173815,-9.967635372
Huainan,349,1296.2,130.1,527.6,638.5,0.2167,5.491404011,1.850429799,2.537535817,5532,0.063087491,3.714040115,0.100370313,0.407035951,0.492593736,5.613428571,0,0,27,7.74E-06,3.295836866,-11.76957543
Maanshan,236.1,2111,94.1,1033.3,983.6,0.2324,4.404913172,2.158750535,2.534017972,4049,0.058310694,8.941126641,0.04457603,0.489483657,0.465940313,5.580514286,0,0,38,1.61E-05,3.63758616,-11.03700966
Huaibei,227,1077.9,72.8,460.6,544.5,0.155016872,5.692511013,2.042147294,2.34649512,2741,0.08281649,4.74845815,0.067538733,0.427312367,0.505148901,5.751128571,0,0,28,1.23E-05,3.33220451,-11.30308588
Tongling,164.1,960.2,52.7,444.8,462.7,0.194488292,5.698354662,2.162096283,2.62400975,2991,0.054864594,5.851310177,0.054884399,0.463236826,0.481878775,6.087821429,0.1252105,0.000763013,29,1.77E-05,3.36729583,-10.94352054
Anqing,472.3,2380.5,216.1,1069.7,1094.8,0.210834134,4.526360364,1.993224645,2.115816219,13538,0.034886985,5.040228668,0.090779248,0.449359378,0.459903382,6.588342857,2.261759,0.004788819,83,1.76E-05,4.418840608,-10.94911414
Huangshan,142.1,818,61.8,283.3,472.9,0.2287,6.233638283,2.556650246,3.075299085,9678,0.014682786,5.7565095,0.075550122,0.346332518,0.578117359,6.087228571,0,0,9,6.33E-06,2.197224577,-11.96964683
Fuyang,825.9,2705,350.4,1033.2,1321.3,0.1461,5.653711103,1.96355491,2.260079913,10118,0.081626804,3.275214917,0.129537893,0.381959335,0.488465804,6.879514286,1.7380745,0.002104461,155,1.88E-05,5.043425117,-10.88338896
