,,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1)
2020-02-25,绍兴,36.42857142857143,61.285714285714285,4.857142857142857,0.6285714285714283,18.285714285714285,108.85714285714286,79.0,1026.7142857142858,1.4285714285714282,11.928571428571429,3.546957142857142,-6.071532165918825e-18,0.0,0.0,0.0
2020-02-26,绍兴,35.714285714285715,60.714285714285715,4.571428571428571,0.6285714285714283,18.857142857142858,104.0,81.14285714285714,1025.2857142857142,1.6428571428571423,13.928571428571429,3.676814285714285,-6.071532165918825e-18,0.0,0.0,0.0
2020-02-27,绍兴,35.285714285714285,61.42857142857143,4.428571428571429,0.6285714285714283,18.285714285714285,100.71428571428571,84.28571428571429,1025.4285714285713,1.6428571428571423,14.142857142857142,3.801599999999999,-6.071532165918825e-18,0.0,0.0,0.0
2020-02-28,绍兴,38.142857142857146,66.71428571428571,4.428571428571429,0.6714285714285712,20.285714285714285,94.0,83.0,1024.2857142857142,1.7571428571428567,14.0,3.9159857142857133,-6.071532165918825e-18,0.0,0.0,0.0
2020-02-29,绍兴,36.142857142857146,62.142857142857146,4.285714285714286,0.7285714285714284,22.0,80.71428571428571,84.28571428571429,1022.5714285714286,1.7571428571428567,13.857142857142858,4.021771428571427,-6.071532165918825e-18,0.0,0.0,0.0
2020-03-01,绍兴,31.142857142857142,49.142857142857146,4.0,0.7285714285714284,22.285714285714285,70.57142857142857,87.85714285714286,1020.4285714285714,1.4285714285714282,13.5,4.102799999999999,-6.071532165918825e-18,0.0,0.0,0.0
2020-03-02,绍兴,28.571428571428573,42.714285714285715,4.0,0.757142857142857,21.857142857142858,66.85714285714286,88.42857142857143,1020.5714285714286,1.6428571428571423,12.857142857142858,4.194928571428571,-6.071532165918825e-18,0.0,0.0,0.0
2020-03-03,绍兴,25.285714285714285,39.0,4.0,0.7857142857142856,23.428571428571427,59.42857142857143,93.0,1021.8571428571429,1.6428571428571423,11.214285714285714,4.279057142857142,-6.071532165918825e-18,0.0,0.0,0.0
2020-03-04,绍兴,25.428571428571427,38.714285714285715,4.285714285714286,0.7857142857142856,24.142857142857142,60.857142857142854,95.14285714285714,1022.5714285714286,1.3142857142857136,9.785714285714286,4.389771428571428,-6.071532165918825e-18,0.0,0.0,0.0
2020-03-05,绍兴,24.714285714285715,36.42857142857143,4.428571428571429,0.7857142857142856,24.857142857142858,64.28571428571429,92.14285714285714,1022.7142857142857,1.5571428571428565,9.5,4.4885142857142855,-6.071532165918825e-18,0.0,0.0,0.0
